Id;ValorContrato;Periodicidade;ClienteId;IsDeleted;CreatedAt;CreatedBy;UpdatedAt;UpdatedBy
8a6a9815-a7bc-48d0-adf8-15080c65ded7;475;5;ced0a703-d057-4e99-b31b-442ac8fe7db8;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-04;8e445865-a24d-4543-a6c6-9443d048cdb9
40975d91-eea2-4299-b8fa-68cd27bb687d;4920;5;32eca651-d00f-473b-b20a-2128572697aa;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9
b4a9734f-53c1-4f34-a2a0-02eab7b7be66;1500;0;ebf74e1d-a33c-468d-949f-9dda2c39a9a0;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-04;8e445865-a24d-4543-a6c6-9443d048cdb9
438db33b-1813-4151-8149-3755c5991737;3949.55;5;ebf74e1d-a33c-468d-949f-9dda2c39a9a0;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9
cdd225ad-7acb-4a7d-ad0e-e26c442c214f;525;5;ebf74e1d-a33c-468d-949f-9dda2c39a9a0;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-04;8e445865-a24d-4543-a6c6-9443d048cdb9
57bb749d-6097-4f65-b013-41591379085b;1780;5;ebf74e1d-a33c-468d-949f-9dda2c39a9a0;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9
831277de-2e5b-44c5-8493-da6532559fc5;314;5;07cc817a-fc82-481e-a95b-948527f54bbb;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-04;8e445865-a24d-4543-a6c6-9443d048cdb9
84a30f9a-ceee-4c45-b7cb-b61b43c8f301;397.15;5;372c85d3-7a78-4dac-8094-b0e7a8266c4c;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9
b084199f-7a71-4186-bb28-f025a8e5f4bf;184;5;e1451de4-70c2-4433-9142-3c2a9dce0c88;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-04;8e445865-a24d-4543-a6c6-9443d048cdb9
f0704bb4-e65c-4175-b3c7-b28b3df282d8;825;5;d9324081-cea8-4579-a88f-ce9d9801f726;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9
ee8ec970-a401-4087-83b9-b452c61b0010;558;5;d9324081-cea8-4579-a88f-ce9d9801f726;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-04;8e445865-a24d-4543-a6c6-9443d048cdb9
d456fd56-8e88-44a9-9f7a-18bdc9f6a0e9;2555;5;d9324081-cea8-4579-a88f-ce9d9801f726;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9
0c74b215-a30e-452c-8d23-769f8b09f805;160.9;5;8d3f1532-a9f9-4f86-9ab1-df19b0aa2ba2;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-04;8e445865-a24d-4543-a6c6-9443d048cdb9
26570c24-3dca-4e00-85ff-a7a2fd9025fb;2538;5;887f4033-7ab2-4851-99d2-c56a8714f50f;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9
